size,binary_time,linear_time
1000,0.011,0.041999999999999996
11000,0.016,0.54
21000,0.011,0.8019999999999999
31000,0.015000000000000001,1.407
41000,0.019,1.805
51000,0.022,2.236
61000,0.018000000000000002,2.621
71000,0.014,2.6870000000000003
81000,0.019,3.332
91000,0.019,3.8539999999999996
101000,0.032,3.93
111000,0.017,4.682
121000,0.017,4.596
131000,0.019,5.162
141000,0.017,5.055
151000,0.017,5.467
161000,0.018000000000000002,5.484
171000,0.016,5.63
181000,0.011,5.71
191000,0.017,6.153
201000,0.012,6.3660000000000005
211000,0.016,6.671
221000,0.016,7.781
231000,0.016,8.037
241000,0.014,7.662999999999999
251000,0.015000000000000001,7.976000000000001
261000,0.016,8.369
271000,0.017,8.651000000000002
281000,0.014,9.023
291000,0.015000000000000001,9.375
301000,0.017,9.673
311000,0.018000000000000002,9.854999999999999
321000,0.017,10.372
331000,0.015000000000000001,10.656
341000,0.018000000000000002,10.992
351000,0.018000000000000002,11.331000000000001
361000,0.016,11.612
371000,0.017,12.203999999999999
381000,0.02,12.75
391000,0.017,12.401
401000,0.018000000000000002,12.987
411000,0.013,13.214
421000,0.016,13.589
431000,0.023,13.988
441000,0.019,15.810999999999998
451000,0.018000000000000002,14.694
461000,0.014,14.821000000000002
471000,0.018000000000000002,14.949
481000,0.015000000000000001,15.558
491000,0.017,15.859000000000002
501000,0.015000000000000001,16.131
511000,0.018000000000000002,16.502
521000,0.017,19.102999999999998
531000,0.02,18.19
541000,0.02,17.58
551000,0.019,17.79
561000,0.019,18.169
571000,0.019,18.336000000000002
581000,0.018000000000000002,18.698
591000,0.018000000000000002,19.098
601000,0.019,19.865000000000002
611000,0.018000000000000002,19.678
621000,0.019,20.111
631000,0.019,20.304
641000,0.016,20.593
651000,0.019,20.957
661000,0.020999999999999998,21.74
671000,0.019,22.198
681000,0.020999999999999998,22.075999999999997
691000,0.019,22.523
701000,0.017,22.568
711000,0.022,25.256
721000,0.018000000000000002,23.456999999999997
731000,0.014,23.369
741000,0.019,23.737000000000002
751000,0.02,24.264999999999997
761000,0.018000000000000002,24.389999999999997
771000,0.02,24.979000000000003
781000,0.02,26.066
791000,0.020999999999999998,26.986
801000,0.018000000000000002,25.846999999999998
811000,0.019,26.155
821000,0.018000000000000002,26.558
831000,0.02,26.887999999999998
841000,0.020999999999999998,27.172
851000,0.022,27.580000000000002
861000,0.02,27.836
871000,0.022,29.465999999999998
881000,0.020999999999999998,30.679000000000002
891000,0.022,31.409
901000,0.020999999999999998,28.962000000000003
911000,0.02,29.356
921000,0.022,29.715
931000,0.018000000000000002,29.721999999999998
941000,0.02,32.488
951000,0.020999999999999998,31.499
961000,0.020999999999999998,31.641000000000002
971000,0.020999999999999998,31.974000000000004
981000,0.02,31.854
991000,0.018000000000000002,31.968999999999998
